FLASH,DESS,FISP,PSIF,Class
127,56,134,66,CLU0
120,47,110,30,CLU0
146,30,158,85,CLU0
141,43,147,80,CLU0
128,44,139,72,CLU0
136,45,134,103,CLU0
167,34,131,139,CLU0
197,50,137,123,CLU0
188,61,123,104,CLU0
168,70,110,103,CLU0
182,68,78,91,CLU0
158,61,55,83,CLU0
163,58,50,32,CLU0
195,61,59,78,CLU0
150,60,55,178,CLU0
146,53,68,186,CLU0
185,56,82,163,CLU0
158,57,84,161,CLU0
181,55,90,147,CLU0
186,63,82,99,CLU0
134,64,71,95,CLU0
118,75,79,75,CLU0
86,64,89,102,CLU0
47,48,126,99,CLU0
14,16,96,61,CLU0
10,18,48,62,CLU0
12,29,16,20,CLU0
25,29,22,5,CLU0
25,27,12,10,CLU0
18,26,7,17,CLU0
15,18,4,10,CLU0
15,16,11,8,CLU0
11,21,10,9,CLU0
13,18,13,8,CLU0
17,22,33,9,CLU0
15,27,6,8,CLU0
4,23,7,9,CLU0
6,17,3,6,CLU0
5,17,12,8,CLU0
13,7,9,4,CLU0
16,9,5,9,CLU0
5,8,5,3,CLU0
